OBJECTID,RELI,E_KOORD,E_ZENTER,N_KOORD,N_ZENTER,B20BM14,B20BM15,B20BM16,B20BM17,B20BM18,B20BM19,M_TOT,B20BW14,B20BW15,B20BW16,B20BW17,B20BW18,B20BW19,W_TOT,TOT
131,67962474,2679600,2679650,1247400,1247450,3,4,3,0,0,3,13,3,9,3,8,9,3,35,48
132,67982471,2679800,2679850,1247100,1247150,3,3,0,0,3,0,9,0,4,3,3,3,3,16,25
133,67982469,2679800,2679850,1246900,1246950,3,3,3,3,3,0,15,3,3,3,3,3,3,18,33
134,67982487,2679800,2679850,1248700,1248750,0,0,3,3,0,0,6,0,3,0,0,0,0,3,9
135,67992484,2679900,2679950,1248400,1248450,5,3,3,3,0,0,14,7,9,3,3,0,0,22,36
136,67992509,2679900,2679950,1250900,1250950,3,4,4,3,3,5,22,3,4,8,4,7,13,39,61
137,67992533,2679900,2679950,1253300,1253350,0,3,3,3,0,0,9,3,0,0,0,3,0,6,15
138,68002463,2680000,2680050,1246300,1246350,3,3,3,3,0,3,15,3,0,0,3,3,3,12,27
139,68002485,2680000,2680050,1248500,1248550,3,3,3,0,3,0,12,3,6,3,3,3,0,18,30
140,68002486,2680000,2680050,1248600,1248650,3,3,0,3,0,0,9,3,3,0,0,3,0,9,18
141,68002504,2680000,2680050,1250400,1250450,0,3,3,3,3,0,12,0,3,3,0,0,0,6,18
142,68002508,2680000,2680050,1250800,1250850,0,3,3,0,3,0,9,3,3,0,3,3,3,15,24
143,68012526,2680100,2680150,1252600,1252650,4,3,3,3,3,0,16,3,3,3,3,3,3,18,34
144,68032471,2680300,2680350,1247100,1247150,3,3,3,3,3,0,15,3,3,6,7,3,3,25,40
145,68042508,2680400,2680450,1250800,1250850,3,3,0,0,0,0,6,4,0,0,0,3,0,7,13
146,68042473,2680400,2680450,1247300,1247350,0,3,0,0,0,0,3,3,3,3,0,3,0,12,15
147,68052462,2680500,2680550,1246200,1246250,3,3,0,0,0,0,6,0,3,0,0,0,0,3,9
148,68052530,2680500,2680550,1253000,1253050,0,0,4,3,0,3,10,0,3,4,3,0,0,10,20
149,68052521,2680500,2680550,1252100,1252150,3,0,3,3,0,0,9,0,0,0,3,3,0,6,15
150,68052518,2680500,2680550,1251800,1251850,0,0,0,0,3,0,3,0,0,0,0,0,3,3,6
151,68072504,2680700,2680750,1250400,1250450,7,8,4,3,3,3,28,9,4,5,6,3,3,30,58
152,68072503,2680700,2680750,1250300,1250350,0,3,3,0,3,0,9,3,3,3,3,0,3,15,24
153,68072457,2680700,2680750,1245700,1245750,3,3,0,0,0,0,6,0,0,0,0,0,0,0,6
154,68072520,2680700,2680750,1252000,1252050,3,7,3,3,3,0,19,3,6,3,4,3,3,22,41
155,68072502,2680700,2680750,1250200,1250250,3,3,0,0,0,0,6,3,0,0,3,0,0,6,12
156,68072466,2680700,2680750,1246600,1246650,3,0,3,3,3,3,15,0,3,3,0,0,0,6,21
157,68072480,2680700,2680750,1248000,1248050,3,5,3,3,0,0,14,3,3,3,3,3,3,18,32
158,68072532,2680700,2680750,1253200,1253250,0,0,0,0,0,0,0,3,0,0,3,0,0,6,6
159,68082456,2680800,2680850,1245600,1245650,3,3,0,0,3,0,9,3,0,0,3,0,0,6,15
160,68082479,2680800,2680850,1247900,1247950,3,4,5,3,0,0,15,5,7,3,9,3,0,27,42
161,68092533,2680900,2680950,1253300,1253350,0,0,0,0,3,0,3,0,0,0,3,0,0,3,6
162,68092452,2680900,2680950,1245200,1245250,4,3,3,0,0,3,13,6,3,3,3,3,0,18,31
163,68092471,2680900,2680950,1247100,1247150,0,3,0,0,0,0,3,0,3,3,3,0,3,12,15
164,68092521,2680900,2680950,1252100,1252150,3,3,5,5,3,3,22,8,7,8,11,3,4,41,63
165,68092528,2680900,2680950,1252800,1252850,3,0,3,0,0,0,6,0,0,3,0,3,3,9,15
166,68102455,2681000,2681050,1245500,1245550,3,4,0,3,0,0,10,6,3,0,3,0,0,12,22
167,68102481,2681000,2681050,1248100,1248150,3,3,3,0,3,3,15,3,3,3,3,3,3,18,33
168,68102420,2681000,2681050,1242000,1242050,3,4,4,3,0,3,17,8,10,3,3,3,3,30,47
169,68112518,2681100,2681150,1251800,1251850,3,3,5,3,0,0,14,4,6,5,4,3,3,25,39
170,68112455,2681100,2681150,1245500,1245550,3,3,3,3,3,3,18,3,3,6,5,3,3,23,41
171,68112499,2681100,2681150,1249900,1249950,0,3,3,3,0,0,9,0,3,6,0,3,0,12,21
172,68112474,2681100,2681150,1247400,1247450,5,4,7,3,3,3,25,10,6,3,4,4,3,30,55
173,68112486,2681100,2681150,1248600,1248650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,68112490,2681100,2681150,1249000,1249050,5,3,3,3,0,0,14,5,3,3,3,0,0,14,28
175,68112428,2681100,2681150,1242800,1242850,0,3,0,0,3,0,6,3,0,0,3,0,0,6,12
176,68122473,2681200,2681250,1247300,1247350,8,3,0,3,3,0,17,6,3,3,3,0,3,18,35
177,68122475,2681200,2681250,1247500,1247550,4,3,4,0,3,0,14,7,3,3,3,0,0,16,30
178,68122501,2681200,2681250,1250100,1250150,3,0,0,0,0,3,6,0,3,0,3,0,0,6,12
179,68132503,2681300,2681350,1250300,1250350,3,3,3,5,3,4,21,3,4,9,12,25,46,99,120
180,68142473,2681400,2681450,1247300,1247350,4,3,3,3,0,0,13,5,3,3,3,5,3,22,35
181,68142461,2681400,2681450,1246100,1246150,3,0,0,0,0,0,3,3,0,0,0,0,0,3,6
182,68142471,2681400,2681450,1247100,1247150,6,3,0,3,0,0,12,8,3,3,3,3,3,23,35
183,68142500,2681400,2681450,1250000,1250050,7,3,3,3,3,0,19,5,3,5,0,4,3,20,39
